Column,Original_Text,Tokenized_Sentences,Tokenized_Words
Question,What property of water allows insects and other small organisms to walk on water?,['What property of water allows insects and other small organisms to walk on water?'],"['What', 'property', 'of', 'water', 'allows', 'insects', 'and', 'other', 'small', 'organisms', 'to', 'walk', 'on', 'water', '?']"
Question,What is the maximum density temperature of water?,['What is the maximum density temperature of water?'],"['What', 'is', 'the', 'maximum', 'density', 'temperature', 'of', 'water', '?']"
Question,"What property of water allows it to exist as a liquid over a wide range of temperatures, making it an ideal medium for biological reactions?","['What property of water allows it to exist as a liquid over a wide range of temperatures, making it an ideal medium for biological reactions?']","['What', 'property', 'of', 'water', 'allows', 'it', 'to', 'exist', 'as', 'a', 'liquid', 'over', 'a', 'wide', 'range', 'of', 'temperatures', ',', 'making', 'it', 'an', 'ideal', 'medium', 'for', 'biological', 'reactions', '?']"
Question,Why is sweating an effective mechanism for cooling off the body?,['Why is sweating an effective mechanism for cooling off the body?'],"['Why', 'is', 'sweating', 'an', 'effective', 'mechanism', 'for', 'cooling', 'off', 'the', 'body', '?']"
Question,Why is the temperature of sand much warmer than the temperature of water at a beach?,['Why is the temperature of sand much warmer than the temperature of water at a beach?'],"['Why', 'is', 'the', 'temperature', 'of', 'sand', 'much', 'warmer', 'than', 'the', 'temperature', 'of', 'water', 'at', 'a', 'beach', '?']"
Question,Is water polar?,['Is water polar?'],"['Is', 'water', 'polar', '?']"
Question,What causes water to be a polar molecule?,['What causes water to be a polar molecule?'],"['What', 'causes', 'water', 'to', 'be', 'a', 'polar', 'molecule', '?']"
Question,What is the geometry of a water molecule?,['What is the geometry of a water molecule?'],"['What', 'is', 'the', 'geometry', 'of', 'a', 'water', 'molecule', '?']"
Question,What is the partial charge on the oxygen atom in a water molecule?,['What is the partial charge on the oxygen atom in a water molecule?'],"['What', 'is', 'the', 'partial', 'charge', 'on', 'the', 'oxygen', 'atom', 'in', 'a', 'water', 'molecule', '?']"
Question,What property of water is influenced by its polarity?,['What property of water is influenced by its polarity?'],"['What', 'property', 'of', 'water', 'is', 'influenced', 'by', 'its', 'polarity', '?']"
Question,What is the process called when two monomers come together to form a covalent bond between them?,['What is the process called when two monomers come together to form a covalent bond between them?'],"['What', 'is', 'the', 'process', 'called', 'when', 'two', 'monomers', 'come', 'together', 'to', 'form', 'a', 'covalent', 'bond', 'between', 'them', '?']"
Question,Which of the following observations is best explained by water’s high surface tension?,['Which of the following observations is best explained by water’s high surface tension?'],"['Which', 'of', 'the', 'following', 'observations', 'is', 'best', 'explained', 'by', 'water', '’', 's', 'high', 'surface', 'tension', '?']"
Question,Which statement best describes why water is an effective solvent?,['Which statement best describes why water is an effective solvent?'],"['Which', 'statement', 'best', 'describes', 'why', 'water', 'is', 'an', 'effective', 'solvent', '?']"
Question,Which of the following describes the most likely way in which two water molecules will interact?,['Which of the following describes the most likely way in which two water molecules will interact?'],"['Which', 'of', 'the', 'following', 'describes', 'the', 'most', 'likely', 'way', 'in', 'which', 'two', 'water', 'molecules', 'will', 'interact', '?']"
Question,"Which of the following biological activities best demonstrates water’s adhesive properties?
",['Which of the following biological activities best demonstrates water’s adhesive properties?'],"['Which', 'of', 'the', 'following', 'biological', 'activities', 'best', 'demonstrates', 'water', '’', 's', 'adhesive', 'properties', '?']"
Question,"A team of virologists has isolated a nucleic acid sample from a newly discovered virus. In order to classify the virus, they need to figure out whether the viral nucleic acid is DNA or RNA. Which of the following characteristics of the nucleic acid sample would best help classify the viral nucleic acid as DNA or RNA?","['A team of virologists has isolated a nucleic acid sample from a newly discovered virus.', 'In order to classify the virus, they need to figure out whether the viral nucleic acid is DNA or RNA.', 'Which of the following characteristics of the nucleic acid sample would best help classify the viral nucleic acid as DNA or RNA?']","['A', 'team', 'of', 'virologists', 'has', 'isolated', 'a', 'nucleic', 'acid', 'sample', 'from', 'a', 'newly', 'discovered', 'virus', '.', 'In', 'order', 'to', 'classify', 'the', 'virus', ',', 'they', 'need', 'to', 'figure', 'out', 'whether', 'the', 'viral', 'nucleic', 'acid', 'is', 'DNA', 'or', 'RNA', '.', 'Which', 'of', 'the', 'following', 'characteristics', 'of', 'the', 'nucleic', 'acid', 'sample', 'would', 'best', 'help', 'classify', 'the', 'viral', 'nucleic', 'acid', 'as', 'DNA', 'or', 'RNA', '?']"
Question,"In a reaction, two amino acids have combined to form a dipeptide. Which of the following best explains the process during this reaction?","['In a reaction, two amino acids have combined to form a dipeptide.', 'Which of the following best explains the process during this reaction?']","['In', 'a', 'reaction', ',', 'two', 'amino', 'acids', 'have', 'combined', 'to', 'form', 'a', 'dipeptide', '.', 'Which', 'of', 'the', 'following', 'best', 'explains', 'the', 'process', 'during', 'this', 'reaction', '?']"
Question,"Bodies of water, such as ponds, freeze from top to bottom, forming a floating sheet of ice. This can help aquatic organisms survive during cold winter months.
Which of the following statements explains why the ice floats on the surface of the pond?","['Bodies of water, such as ponds, freeze from top to bottom, forming a floating sheet of ice.', 'This can help aquatic organisms survive during cold winter months.', 'Which of the following statements explains why the ice floats on the surface of the pond?']","['Bodies', 'of', 'water', ',', 'such', 'as', 'ponds', ',', 'freeze', 'from', 'top', 'to', 'bottom', ',', 'forming', 'a', 'floating', 'sheet', 'of', 'ice', '.', 'This', 'can', 'help', 'aquatic', 'organisms', 'survive', 'during', 'cold', 'winter', 'months', '.', 'Which', 'of', 'the', 'following', 'statements', 'explains', 'why', 'the', 'ice', 'floats', 'on', 'the', 'surface', 'of', 'the', 'pond', '?']"
Question,Which of the following best explains why coastal cities like San Diego often have a smaller air temperature range than inland cities?,['Which of the following best explains why coastal cities like San Diego often have a smaller air temperature range than inland cities?'],"['Which', 'of', 'the', 'following', 'best', 'explains', 'why', 'coastal', 'cities', 'like', 'San', 'Diego', 'often', 'have', 'a', 'smaller', 'air', 'temperature', 'range', 'than', 'inland', 'cities', '?']"
Question,"Which of the following best explains water's ability to dissolve certain substances such as glucose, but remain separate from other substances such as oils?","[""Which of the following best explains water's ability to dissolve certain substances such as glucose, but remain separate from other substances such as oils?""]","['Which', 'of', 'the', 'following', 'best', 'explains', 'water', ""'s"", 'ability', 'to', 'dissolve', 'certain', 'substances', 'such', 'as', 'glucose', ',', 'but', 'remain', 'separate', 'from', 'other', 'substances', 'such', 'as', 'oils', '?']"
Question,"A biological molecule has 38% carbon, 17% nitrogen, 10% phosphorus, 31% oxygen, 0% sulfur, and 4% hydrogen. What is the biological molecule?","['A biological molecule has 38% carbon, 17% nitrogen, 10% phosphorus, 31% oxygen, 0% sulfur, and 4% hydrogen.', 'What is the biological molecule?']","['A', 'biological', 'molecule', 'has', '38', '%', 'carbon', ',', '17', '%', 'nitrogen', ',', '10', '%', 'phosphorus', ',', '31', '%', 'oxygen', ',', '0', '%', 'sulfur', ',', 'and', '4', '%', 'hydrogen', '.', 'What', 'is', 'the', 'biological', 'molecule', '?']"
Question,"In the 1950s, the scientists Alfred Hershey and Martha Chase carried out an experiment using bacteriophages, which are viruses that infect bacteria. During the experiment, the scientists allowed bacteriophages that had been labeled with either radioactive phosphorus or radioactive sulfur to infect bacterial cells.
After the infection process occurred, the scientists found that the bacterial cells contained significant amounts of radioactive phosphorus, but not radioactive sulfur.
Based on the results of the experiment, which of the following molecules did the bacteriophages most likely inject into bacterial cells to cause infection?","['In the 1950s, the scientists Alfred Hershey and Martha Chase carried out an experiment using bacteriophages, which are viruses that infect bacteria.', 'During the experiment, the scientists allowed bacteriophages that had been labeled with either radioactive phosphorus or radioactive sulfur to infect bacterial cells.', 'After the infection process occurred, the scientists found that the bacterial cells contained significant amounts of radioactive phosphorus, but not radioactive sulfur.', 'Based on the results of the experiment, which of the following molecules did the bacteriophages most likely inject into bacterial cells to cause infection?']","['In', 'the', '1950s', ',', 'the', 'scientists', 'Alfred', 'Hershey', 'and', 'Martha', 'Chase', 'carried', 'out', 'an', 'experiment', 'using', 'bacteriophages', ',', 'which', 'are', 'viruses', 'that', 'infect', 'bacteria', '.', 'During', 'the', 'experiment', ',', 'the', 'scientists', 'allowed', 'bacteriophages', 'that', 'had', 'been', 'labeled', 'with', 'either', 'radioactive', 'phosphorus', 'or', 'radioactive', 'sulfur', 'to', 'infect', 'bacterial', 'cells', '.', 'After', 'the', 'infection', 'process', 'occurred', ',', 'the', 'scientists', 'found', 'that', 'the', 'bacterial', 'cells', 'contained', 'significant', 'amounts', 'of', 'radioactive', 'phosphorus', ',', 'but', 'not', 'radioactive', 'sulfur', '.', 'Based', 'on', 'the', 'results', 'of', 'the', 'experiment', ',', 'which', 'of', 'the', 'following', 'molecules', 'did', 'the', 'bacteriophages', 'most', 'likely', 'inject', 'into', 'bacterial', 'cells', 'to', 'cause', 'infection', '?']"
Question,"A biological molecule has 46% carbon, 0% nitrogen, 0% phosphorus, 51% oxygen, 0% sulfur, and 3% hydrogen. What is the biological molecule?","['A biological molecule has 46% carbon, 0% nitrogen, 0% phosphorus, 51% oxygen, 0% sulfur, and 3% hydrogen.', 'What is the biological molecule?']","['A', 'biological', 'molecule', 'has', '46', '%', 'carbon', ',', '0', '%', 'nitrogen', ',', '0', '%', 'phosphorus', ',', '51', '%', 'oxygen', ',', '0', '%', 'sulfur', ',', 'and', '3', '%', 'hydrogen', '.', 'What', 'is', 'the', 'biological', 'molecule', '?']"
Question,What is the primary reason that ice floats on liquid water?,['What is the primary reason that ice floats on liquid water?'],"['What', 'is', 'the', 'primary', 'reason', 'that', 'ice', 'floats', 'on', 'liquid', 'water', '?']"
Question,"Which characteristic of water enables capillary action, allowing it to move upward through narrow tubes like plant stems?","['Which characteristic of water enables capillary action, allowing it to move upward through narrow tubes like plant stems?']","['Which', 'characteristic', 'of', 'water', 'enables', 'capillary', 'action', ',', 'allowing', 'it', 'to', 'move', 'upward', 'through', 'narrow', 'tubes', 'like', 'plant', 'stems', '?']"
Question,What is the significance of water having a high specific heat in biological systems?,['What is the significance of water having a high specific heat in biological systems?'],"['What', 'is', 'the', 'significance', 'of', 'water', 'having', 'a', 'high', 'specific', 'heat', 'in', 'biological', 'systems', '?']"
Question,How do hydrogen bonds contribute to the high surface tension of water?,['How do hydrogen bonds contribute to the high surface tension of water?'],"['How', 'do', 'hydrogen', 'bonds', 'contribute', 'to', 'the', 'high', 'surface', 'tension', 'of', 'water', '?']"
Question,Which unique property of water supports aquatic life through temperature regulation?,['Which unique property of water supports aquatic life through temperature regulation?'],"['Which', 'unique', 'property', 'of', 'water', 'supports', 'aquatic', 'life', 'through', 'temperature', 'regulation', '?']"
Question,What type of bond forms between the hydrogen and oxygen atoms within a single water molecule?,['What type of bond forms between the hydrogen and oxygen atoms within a single water molecule?'],"['What', 'type', 'of', 'bond', 'forms', 'between', 'the', 'hydrogen', 'and', 'oxygen', 'atoms', 'within', 'a', 'single', 'water', 'molecule', '?']"
Question,Why can water dissolve salts but not oils?,['Why can water dissolve salts but not oils?'],"['Why', 'can', 'water', 'dissolve', 'salts', 'but', 'not', 'oils', '?']"
Question,Which of the following explains why sweating cools the body?,['Which of the following explains why sweating cools the body?'],"['Which', 'of', 'the', 'following', 'explains', 'why', 'sweating', 'cools', 'the', 'body', '?']"
Question,Which property of water helps plants transport nutrients from roots to leaves?,['Which property of water helps plants transport nutrients from roots to leaves?'],"['Which', 'property', 'of', 'water', 'helps', 'plants', 'transport', 'nutrients', 'from', 'roots', 'to', 'leaves', '?']"
Question,What property allows water to moderate Earth’s climate?,['What property allows water to moderate Earth’s climate?'],"['What', 'property', 'allows', 'water', 'to', 'moderate', 'Earth', '’', 's', 'climate', '?']"
Question,What is the process called when water is used to break the covalent bonds between monomers in a polymer?,['What is the process called when water is used to break the covalent bonds between monomers in a polymer?'],"['What', 'is', 'the', 'process', 'called', 'when', 'water', 'is', 'used', 'to', 'break', 'the', 'covalent', 'bonds', 'between', 'monomers', 'in', 'a', 'polymer', '?']"
Question,Why is water essential in the building and breaking down of biological polymers?,['Why is water essential in the building and breaking down of biological polymers?'],"['Why', 'is', 'water', 'essential', 'in', 'the', 'building', 'and', 'breaking', 'down', 'of', 'biological', 'polymers', '?']"
Question,What is the name of the individual units that are linked together to form a polymer?,['What is the name of the individual units that are linked together to form a polymer?'],"['What', 'is', 'the', 'name', 'of', 'the', 'individual', 'units', 'that', 'are', 'linked', 'together', 'to', 'form', 'a', 'polymer', '?']"
Question,"Which process removes a hydroxyl group (- OH) from one monomer and a hydrogen atom (-H) from the other, forming a covalent bond between the two monomers and a molecule of water?","['Which process removes a hydroxyl group (- OH) from one monomer and a hydrogen atom (-H) from the other, forming a covalent bond between the two monomers and a molecule of water?']","['Which', 'process', 'removes', 'a', 'hydroxyl', 'group', '(', '-', 'OH', ')', 'from', 'one', 'monomer', 'and', 'a', 'hydrogen', 'atom', '(', '-H', ')', 'from', 'the', 'other', ',', 'forming', 'a', 'covalent', 'bond', 'between', 'the', 'two', 'monomers', 'and', 'a', 'molecule', 'of', 'water', '?']"
Question,Which of the following macromolecules is composed of nucleotides?,['Which of the following macromolecules is composed of nucleotides?'],"['Which', 'of', 'the', 'following', 'macromolecules', 'is', 'composed', 'of', 'nucleotides', '?']"
Question,What is a function of lipids in living organisms?,['What is a function of lipids in living organisms?'],"['What', 'is', 'a', 'function', 'of', 'lipids', 'in', 'living', 'organisms', '?']"
Question,Which chemical elements are needed to make proteins?,['Which chemical elements are needed to make proteins?'],"['Which', 'chemical', 'elements', 'are', 'needed', 'to', 'make', 'proteins', '?']"
Question,Which type of macromolecule is used as a source of fast energy for the body?,['Which type of macromolecule is used as a source of fast energy for the body?'],"['Which', 'type', 'of', 'macromolecule', 'is', 'used', 'as', 'a', 'source', 'of', 'fast', 'energy', 'for', 'the', 'body', '?']"
Question,Which of the following is NOT an example of a carbohydrate?,['Which of the following is NOT an example of a carbohydrate?'],"['Which', 'of', 'the', 'following', 'is', 'NOT', 'an', 'example', 'of', 'a', 'carbohydrate', '?']"
Question,What is the function of Nucleic Acids in living organisms?,['What is the function of Nucleic Acids in living organisms?'],"['What', 'is', 'the', 'function', 'of', 'Nucleic', 'Acids', 'in', 'living', 'organisms', '?']"
Question,What are the componets of a nucleic acid?,['What are the componets of a nucleic acid?'],"['What', 'are', 'the', 'componets', 'of', 'a', 'nucleic', 'acid', '?']"
Question,"Which type of macromolecule is involved in enzymatic reactions, structural support, and transport of molecules across cell membranes?","['Which type of macromolecule is involved in enzymatic reactions, structural support, and transport of molecules across cell membranes?']","['Which', 'type', 'of', 'macromolecule', 'is', 'involved', 'in', 'enzymatic', 'reactions', ',', 'structural', 'support', ',', 'and', 'transport', 'of', 'molecules', 'across', 'cell', 'membranes', '?']"
Question,Which of the following is a complex carbohydrate used for energy storage in animals?,['Which of the following is a complex carbohydrate used for energy storage in animals?'],"['Which', 'of', 'the', 'following', 'is', 'a', 'complex', 'carbohydrate', 'used', 'for', 'energy', 'storage', 'in', 'animals', '?']"
Question,Which of the following is a type of lipid that serves as a signaling molecule in the body?,['Which of the following is a type of lipid that serves as a signaling molecule in the body?'],"['Which', 'of', 'the', 'following', 'is', 'a', 'type', 'of', 'lipid', 'that', 'serves', 'as', 'a', 'signaling', 'molecule', 'in', 'the', 'body', '?']"
Question,What is one thing true about lipids?,['What is one thing true about lipids?'],"['What', 'is', 'one', 'thing', 'true', 'about', 'lipids', '?']"
Question,What is the primary function of carbohydrates?,['What is the primary function of carbohydrates?'],"['What', 'is', 'the', 'primary', 'function', 'of', 'carbohydrates', '?']"
Question,What are some types of nucleic acid?,['What are some types of nucleic acid?'],"['What', 'are', 'some', 'types', 'of', 'nucleic', 'acid', '?']"
Question,Which Chemical elements are needed to make carbohydrates?,['Which Chemical elements are needed to make carbohydrates?'],"['Which', 'Chemical', 'elements', 'are', 'needed', 'to', 'make', 'carbohydrates', '?']"
Question,What is the primary componet of plant cell walls?,['What is the primary componet of plant cell walls?'],"['What', 'is', 'the', 'primary', 'componet', 'of', 'plant', 'cell', 'walls', '?']"
Question,What is the primary structure of a protein?,['What is the primary structure of a protein?'],"['What', 'is', 'the', 'primary', 'structure', 'of', 'a', 'protein', '?']"
Question,What bonds are involved in the primary structure of a protein?,['What bonds are involved in the primary structure of a protein?'],"['What', 'bonds', 'are', 'involved', 'in', 'the', 'primary', 'structure', 'of', 'a', 'protein', '?']"
Question,What is the secondary structure of a protein?,['What is the secondary structure of a protein?'],"['What', 'is', 'the', 'secondary', 'structure', 'of', 'a', 'protein', '?']"
Question,What are the two most common secondary structures of a protein?,['What are the two most common secondary structures of a protein?'],"['What', 'are', 'the', 'two', 'most', 'common', 'secondary', 'structures', 'of', 'a', 'protein', '?']"
Question,how is DNA able for precise copying?,['how is DNA able for precise copying?'],"['how', 'is', 'DNA', 'able', 'for', 'precise', 'copying', '?']"
Question,how is DNA able for precise copying?,['how is DNA able for precise copying?'],"['how', 'is', 'DNA', 'able', 'for', 'precise', 'copying', '?']"
Question,how is DNA able for precise copying?,['how is DNA able for precise copying?'],"['how', 'is', 'DNA', 'able', 'for', 'precise', 'copying', '?']"
Question,how is DNA able for precise copying?,['how is DNA able for precise copying?'],"['how', 'is', 'DNA', 'able', 'for', 'precise', 'copying', '?']"
Question,how is DNA able to be stable?,['how is DNA able to be stable?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'stable', '?']"
Question,how is DNA able to be stable?,['how is DNA able to be stable?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'stable', '?']"
Question,how is DNA able to be stable?,['how is DNA able to be stable?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'stable', '?']"
Question,how is DNA able to be stable?,['how is DNA able to be stable?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'stable', '?']"
Question,how is DNA able to be able to be changed?,['how is DNA able to be able to be changed?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'able', 'to', 'be', 'changed', '?']"
Question,how is DNA able to be able to be changed?,['how is DNA able to be able to be changed?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'able', 'to', 'be', 'changed', '?']"
Question,how is DNA able to be able to be changed?,['how is DNA able to be able to be changed?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'able', 'to', 'be', 'changed', '?']"
Question,how is DNA able to be able to be changed?,['how is DNA able to be able to be changed?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'able', 'to', 'be', 'changed', '?']"
Question,how is DNA able to be able to be changed?,['how is DNA able to be able to be changed?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'able', 'to', 'be', 'changed', '?']"
Question,how is DNA able to be able to be changed?,['how is DNA able to be able to be changed?'],"['how', 'is', 'DNA', 'able', 'to', 'be', 'able', 'to', 'be', 'changed', '?']"
Question,how is DNA complex enough to determine phenotype?,['how is DNA complex enough to determine phenotype?'],"['how', 'is', 'DNA', 'complex', 'enough', 'to', 'determine', 'phenotype', '?']"
Question,how is DNA complex enough to determine phenotype?,['how is DNA complex enough to determine phenotype?'],"['how', 'is', 'DNA', 'complex', 'enough', 'to', 'determine', 'phenotype', '?']"
Question,how is DNA complex enough to determine phenotype?,['how is DNA complex enough to determine phenotype?'],"['how', 'is', 'DNA', 'complex', 'enough', 'to', 'determine', 'phenotype', '?']"
Question,how is DNA complex enough to determine phenotype?,['how is DNA complex enough to determine phenotype?'],"['how', 'is', 'DNA', 'complex', 'enough', 'to', 'determine', 'phenotype', '?']"
Question,how is DNA complex enough to determine phenotype?,['how is DNA complex enough to determine phenotype?'],"['how', 'is', 'DNA', 'complex', 'enough', 'to', 'determine', 'phenotype', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,what are the characteristics of the universal ancestor?,['what are the characteristics of the universal ancestor?'],"['what', 'are', 'the', 'characteristics', 'of', 'the', 'universal', 'ancestor', '?']"
Question,Charles Darwin proposed that evolution by natural selection was the basis for the differences that he saw in similar organisms as he traveled and collected specimens in South Africa and on the Galapagos Islands.  Explain the theory of evolution by natural selection as presented by Darwin.,"['Charles Darwin proposed that evolution by natural selection was the basis for the differences that he saw in similar organisms as he traveled and collected specimens in South Africa and on the Galapagos Islands.', 'Explain the theory of evolution by natural selection as presented by Darwin.']","['Charles', 'Darwin', 'proposed', 'that', 'evolution', 'by', 'natural', 'selection', 'was', 'the', 'basis', 'for', 'the', 'differences', 'that', 'he', 'saw', 'in', 'similar', 'organisms', 'as', 'he', 'traveled', 'and', 'collected', 'specimens', 'in', 'South', 'Africa', 'and', 'on', 'the', 'Galapagos', 'Islands', '.', 'Explain', 'the', 'theory', 'of', 'evolution', 'by', 'natural', 'selection', 'as', 'presented', 'by', 'Darwin', '.']"
Question,Explain convergent evolution and the similarities among species in a particular biome.,['Explain convergent evolution and the similarities among species in a particular biome.'],"['Explain', 'convergent', 'evolution', 'and', 'the', 'similarities', 'among', 'species', 'in', 'a', 'particular', 'biome', '.']"
Question,Explain natural selection and the formation of insecticide-resistant insects or antibiotic-resistant bacteria,['Explain natural selection and the formation of insecticide-resistant insects or antibiotic-resistant bacteria'],"['Explain', 'natural', 'selection', 'and', 'the', 'formation', 'of', 'insecticide-resistant', 'insects', 'or', 'antibiotic-resistant', 'bacteria']"
Question,Explain speciation and isolation,['Explain speciation and isolation'],"['Explain', 'speciation', 'and', 'isolation']"
Question,"Explain Natural selection and behavior such as kinesis, fixed-action pattern, dominance hierarchy","['Explain Natural selection and behavior such as kinesis, fixed-action pattern, dominance hierarchy']","['Explain', 'Natural', 'selection', 'and', 'behavior', 'such', 'as', 'kinesis', ',', 'fixed-action', 'pattern', ',', 'dominance', 'hierarchy']"
Question,Explain Natural selection and heterozygote advantage,['Explain Natural selection and heterozygote advantage'],"['Explain', 'Natural', 'selection', 'and', 'heterozygote', 'advantage']"
Question,what is the relationship between proteins and the chemical composition and levels of structure of proteins?,['what is the relationship between proteins and the chemical composition and levels of structure of proteins?'],"['what', 'is', 'the', 'relationship', 'between', 'proteins', 'and', 'the', 'chemical', 'composition', 'and', 'levels', 'of', 'structure', 'of', 'proteins', '?']"
Question,what is the relationship between proteins and the roles of DNA and RNA in protein synthesis? ,['what is the relationship between proteins and the roles of DNA and RNA in protein synthesis?'],"['what', 'is', 'the', 'relationship', 'between', 'proteins', 'and', 'the', 'roles', 'of', 'DNA', 'and', 'RNA', 'in', 'protein', 'synthesis', '?']"
Question,what is the relationship between proteins and the roles of proteins in membrane structure and transport of molecules across the membrane?,['what is the relationship between proteins and the roles of proteins in membrane structure and transport of molecules across the membrane?'],"['what', 'is', 'the', 'relationship', 'between', 'proteins', 'and', 'the', 'roles', 'of', 'proteins', 'in', 'membrane', 'structure', 'and', 'transport', 'of', 'molecules', 'across', 'the', 'membrane', '?']"
Question,explain how blood glucose concentration (feedback mechanism) maintain homeostasis.,['explain how blood glucose concentration (feedback mechanism) maintain homeostasis.'],"['explain', 'how', 'blood', 'glucose', 'concentration', '(', 'feedback', 'mechanism', ')', 'maintain', 'homeostasis', '.']"
